user_id,user_name,session_id,ad_source,clicked_ad,landed_on_website,device_type,time_on_site_sec,product_viewed,num_products_viewed,added_to_cart,initiated_checkout,completed_purchase,purchase_amount,left_review,exit_stage,product_category
user_0396,Tina Krueger,sess_acdff9544a,Instagram,Yes,Yes,Desktop,86,Jeans Item A,1,Yes,No,No,0.0,No,cart,Jeans
user_0273,Jennifer Gutierrez,sess_eb65e69f2f,Instagram,Yes,Yes,Mobile,427,T-Shirts Item A,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0347,Michelle Harrison,sess_37845743bb,Instagram,Yes,Yes,Desktop,486,Accessories Item B,1,Yes,Yes,No,0.0,No,checkout,Accessories
user_0089,John Allen,sess_874a56cac2,Instagram,Yes,Yes,Desktop,45,Shorts Item X,2,No,No,No,0.0,No,product_page,Shorts
user_0220,Jared Gomez,sess_e31d78bfc1,Instagram,Yes,Yes,Mobile,70,T-Shirts Item B,1,No,No,No,0.0,No,product_page,T-Shirts
user_0187,Elizabeth Kent,sess_1d76127ba9,Google,Yes,Yes,Mobile,86,Jeans Item B,1,No,No,No,0.0,No,product_page,Jeans
user_0170,Carolyn Myers,sess_fbc41ccaba,Instagram,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0233,John Lucas,sess_17b03fe069,Instagram,Yes,Yes,Mobile,798,Pants Item X,2,Yes,Yes,Yes,23.56,No,purchase_confirmation,Pants
user_0179,Ernest Green,sess_384dd871b9,Instagram,Yes,Yes,Mobile,192,Jeans Item X,1,Yes,Yes,No,0.0,No,checkout,Jeans
user_0062,Wesley Peterson,sess_8517bc1b40,Google,Yes,Yes,Desktop,164,Jeans Item A,5,No,No,No,0.0,No,product_page,Jeans
user_0089,John Allen,sess_ec2a72cc04,Facebook,Yes,Yes,Mobile,21,,0,No,No,No,0.0,No,landing_page,
user_0014,Laura Logan,sess_8b89f7b8cd,Instagram,Yes,Yes,Mobile,431,Shorts Item B,10,Yes,Yes,No,0.0,No,checkout,Shorts
user_0116,Angelica Kemp,sess_9aca0877f5,Google,Yes,Yes,Mobile,54,T-Shirts Item B,2,No,No,No,0.0,No,product_page,T-Shirts
user_0020,Ryan Williams,sess_3a21ae33c4,Google,Yes,Yes,Mobile,127,Hoodies Item B,4,Yes,Yes,No,0.0,No,checkout,Hoodies
user_0003,Candice Acevedo,sess_aecdb415be,Facebook,Yes,Yes,Mobile,38,T-Shirts Item B,4,No,No,No,0.0,No,product_page,T-Shirts
user_0271,Michelle Parker,sess_e4513de533,Instagram,Yes,Yes,Mobile,91,Accessories Item Z,6,No,No,No,0.0,No,product_page,Accessories
user_0351,Curtis Bell,sess_d88ac17d01,Instagram,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0383,Ricky Petersen,sess_d961a8e2f7,Instagram,Yes,Yes,Mobile,250,Jeans Item A,5,Yes,Yes,No,0.0,No,checkout,Jeans
user_0082,Adam Schultz,sess_8ac28a580c,Instagram,Yes,Yes,Mobile,587,Shorts Item A,1,Yes,Yes,No,0.0,No,checkout,Shorts
user_0085,Jacob Sawyer,sess_3337e66a37,Instagram,Yes,Yes,Desktop,151,Pants Item B,2,No,No,No,0.0,No,product_page,Pants
user_0199,Shane Cook,sess_84c424d9bb,Instagram,Yes,Yes,Mobile,123,Accessories Item B,2,Yes,Yes,No,0.0,No,checkout,Accessories
user_0283,Curtis Nichols,sess_89f24d1075,Facebook,Yes,Yes,Desktop,109,Pants Item B,5,No,No,No,0.0,No,product_page,Pants
user_0275,Vanessa Silva,sess_ba9d40153e,Facebook,Yes,Yes,Mobile,20,,0,No,No,No,0.0,No,landing_page,
user_0157,Kathryn Soto,sess_8691859204,Facebook,Yes,Yes,Mobile,142,Hoodies Item B,2,No,No,No,0.0,No,product_page,Hoodies
user_0070,Frank Campbell,sess_f93429545b,Google,Yes,Yes,Mobile,162,Jeans Item B,1,No,No,No,0.0,No,product_page,Jeans
user_0023,Lisa Shaw,sess_6d583c8138,Google,Yes,Yes,Mobile,428,T-Shirts Item B,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0219,Kristen Phillips,sess_d943119f02,Facebook,Yes,Yes,Mobile,188,Jeans Item Z,2,Yes,No,No,0.0,No,cart,Jeans
user_0215,Alvin Ortega,sess_7a2a36de21,Instagram,Yes,Yes,Mobile,535,Jeans Item A,2,Yes,Yes,No,0.0,No,checkout,Jeans
user_0068,Donald Mendez,sess_396f5fa543,Instagram,Yes,Yes,Desktop,337,Hoodies Item X,1,Yes,Yes,Yes,52.56,Yes,purchase_confirmation,Hoodies
user_0232,Eddie Mcbride,sess_ed5008d5f0,Instagram,Yes,Yes,Mobile,97,Shorts Item B,1,No,No,No,0.0,No,product_page,Shorts
user_0378,Michelle Smith,sess_059699ffdc,Instagram,Yes,No,Mobile,0,,0,No,No,No,0.0,No,ad_landing_failure,
user_0022,Carolyn Mora,sess_6700fdda58,Instagram,Yes,Yes,Desktop,146,Pants Item A,2,No,No,No,0.0,No,product_page,Pants
user_0105,Jessica Robertson,sess_d91b0a1a47,Instagram,Yes,Yes,Desktop,867,T-Shirts Item X,1,Yes,Yes,Yes,20.23,Yes,purchase_confirmation,T-Shirts
user_0145,Rose Gonzalez,sess_5a1a0070fe,Instagram,Yes,Yes,Mobile,856,T-Shirts Item B,1,Yes,Yes,Yes,28.33,No,purchase_confirmation,T-Shirts
user_0265,Sylvia Wilkerson MD,sess_c0a84e70cd,Instagram,Yes,Yes,Desktop,92,Shorts Item B,2,No,No,No,0.0,No,product_page,Shorts
user_0017,Andrew Wolfe,sess_0cb408c0ad,Google,Yes,Yes,Mobile,261,Shorts Item B,2,Yes,Yes,No,0.0,No,checkout,Shorts
user_0115,Alyssa Wong,sess_57cf44c31e,Facebook,Yes,Yes,Mobile,491,T-Shirts Item B,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0083,Patricia Robinson,sess_82283a18b6,Instagram,Yes,Yes,Mobile,195,T-Shirts Item A,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0058,Kathleen Haney,sess_4bc3e9178b,Instagram,Yes,Yes,Mobile,69,T-Shirts Item B,1,No,No,No,0.0,No,product_page,T-Shirts
user_0387,Joshua Mcdonald,sess_895a44aff0,Google,Yes,Yes,Desktop,130,Shorts Item A,3,No,No,No,0.0,No,product_page,Shorts
user_0265,Sylvia Wilkerson MD,sess_91ba4ac751,Facebook,Yes,Yes,Mobile,288,T-Shirts Item Z,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0337,Scott Graves,sess_82741ab263,Facebook,Yes,Yes,Desktop,17,,0,No,No,No,0.0,No,landing_page,
user_0107,Joseph Lopez,sess_7600351d16,Instagram,Yes,Yes,Desktop,77,Shorts Item B,1,No,No,No,0.0,No,product_page,Shorts
user_0137,Karen Miller,sess_0503a21992,Instagram,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0073,Kathryn Hancock,sess_4c96a58d80,Instagram,Yes,Yes,Mobile,412,Accessories Item A,5,Yes,Yes,No,0.0,No,checkout,Accessories
user_0303,Kayla Doyle,sess_cde5b8800b,Instagram,Yes,Yes,Desktop,393,Shorts Item B,1,Yes,Yes,No,0.0,No,checkout,Shorts
user_0134,Cody Porter,sess_f2bf74c8e9,Facebook,Yes,Yes,Desktop,543,Pants Item Z,1,Yes,Yes,No,0.0,No,checkout,Pants
user_0317,Lindsey Edwards,sess_69bc7b4776,Instagram,Yes,Yes,Mobile,479,Jeans Item A,1,Yes,Yes,No,0.0,No,checkout,Jeans
user_0022,Carolyn Mora,sess_a3c0e49dcd,Facebook,Yes,Yes,Mobile,299,Pants Item Z,1,Yes,Yes,No,0.0,No,checkout,Pants
user_0164,Amber Mccann,sess_d410d997d6,Instagram,Yes,Yes,Mobile,80,Shorts Item Z,1,No,No,No,0.0,No,product_page,Shorts
user_0048,Megan Nelson,sess_a7e8daae6a,Google,Yes,Yes,Mobile,266,Pants Item A,3,Yes,Yes,No,0.0,No,checkout,Pants
user_0367,Alexander Simpson,sess_30620eda97,Google,No,No,Desktop,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0071,Angela Delacruz,sess_c9a4f7b41b,Google,Yes,Yes,Mobile,83,Hoodies Item X,1,Yes,No,No,0.0,No,cart,Hoodies
user_0191,Deborah Hoffman,sess_a2567bf795,Google,Yes,Yes,Mobile,245,Pants Item X,1,Yes,Yes,No,0.0,No,checkout,Pants
user_0210,Zachary Quinn,sess_dad9bd69b2,Instagram,Yes,No,Desktop,0,,0,No,No,No,0.0,No,ad_landing_failure,
user_0027,Kyle Jones,sess_33f107076f,Google,Yes,Yes,Mobile,384,Hoodies Item A,2,Yes,Yes,No,0.0,No,checkout,Hoodies
user_0019,Kevin Bryant,sess_4843e9351e,Google,Yes,Yes,Desktop,68,T-Shirts Item Z,3,No,No,No,0.0,No,product_page,T-Shirts
user_0248,Corey Villegas,sess_082b28101a,Facebook,Yes,Yes,Desktop,70,Shorts Item A,3,No,No,No,0.0,No,product_page,Shorts
user_0023,Lisa Shaw,sess_6a37e1659b,Instagram,Yes,Yes,Desktop,165,T-Shirts Item B,2,No,No,No,0.0,No,product_page,T-Shirts
user_0197,Katie Brown,sess_6f02d04ebb,Instagram,No,No,Desktop,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0228,Mckenzie Boyd,sess_42a0bf2c65,Google,Yes,Yes,Mobile,994,Shorts Item B,2,Yes,Yes,Yes,15.15,No,purchase_confirmation,Shorts
user_0054,Adam Owens,sess_b1328a826b,Instagram,Yes,Yes,Desktop,137,Jeans Item X,2,Yes,Yes,No,0.0,No,checkout,Jeans
user_0205,Melissa Hall,sess_e6b4671467,Instagram,Yes,Yes,Mobile,177,Accessories Item B,7,No,No,No,0.0,No,product_page,Accessories
user_0160,Bryan Cunningham,sess_6907980fa0,Instagram,Yes,Yes,Mobile,130,Jeans Item B,4,Yes,Yes,No,0.0,No,checkout,Jeans
user_0117,Jason Stephens,sess_1784d8cbae,Facebook,Yes,Yes,Desktop,6,,0,No,No,No,0.0,No,landing_page,
user_0221,Amy Mayer,sess_73b1bbc14c,Facebook,Yes,Yes,Desktop,113,Pants Item B,1,Yes,No,No,0.0,No,cart,Pants
user_0214,Alexander Holmes,sess_38a401fe7f,Google,Yes,Yes,Mobile,511,Jeans Item Z,2,Yes,Yes,No,0.0,No,checkout,Jeans
user_0087,David Kelley,sess_c819666f9f,Instagram,Yes,Yes,Mobile,528,Jeans Item Z,3,Yes,Yes,No,0.0,No,checkout,Jeans
user_0321,Amy Anderson,sess_090eb72375,Instagram,Yes,Yes,Desktop,52,T-Shirts Item A,1,No,No,No,0.0,No,product_page,T-Shirts
user_0341,Michael Moore,sess_9d081a39d6,Google,Yes,Yes,Mobile,56,T-Shirts Item A,1,No,No,No,0.0,No,product_page,T-Shirts
user_0157,Kathryn Soto,sess_3325123f56,Instagram,Yes,Yes,Mobile,106,T-Shirts Item X,4,No,No,No,0.0,No,product_page,T-Shirts
user_0131,Paul Shea,sess_1e0f394b75,Instagram,Yes,Yes,Mobile,337,Hoodies Item X,1,Yes,Yes,Yes,75.79,No,purchase_confirmation,Hoodies
user_0366,Christina Carter,sess_319f6f11f8,Instagram,Yes,Yes,Mobile,137,Hoodies Item X,3,No,No,No,0.0,No,product_page,Hoodies
user_0381,Michelle Diaz,sess_74b34cd0d1,Instagram,Yes,Yes,Mobile,31,Pants Item B,2,No,No,No,0.0,No,product_page,Pants
user_0142,Jennifer Bryant,sess_7a9611e353,Facebook,Yes,Yes,Desktop,104,Pants Item B,1,No,No,No,0.0,No,product_page,Pants
user_0327,Jennifer Smith,sess_8bf560ea08,Facebook,Yes,Yes,Desktop,69,T-Shirts Item X,10,No,No,No,0.0,No,product_page,T-Shirts
user_0189,Kristen Barron,sess_516588bb87,Facebook,Yes,Yes,Mobile,164,Jeans Item B,1,No,No,No,0.0,No,product_page,Jeans
user_0161,Laura Jones,sess_385e6a54cb,Facebook,Yes,Yes,Mobile,454,Jeans Item A,1,Yes,Yes,No,0.0,No,checkout,Jeans
user_0239,Tracey Smith,sess_7574eb2b3d,Instagram,Yes,Yes,Desktop,65,T-Shirts Item Z,1,No,No,No,0.0,No,product_page,T-Shirts
user_0394,Michael Johnson,sess_4fadeaa819,Instagram,Yes,Yes,Desktop,179,Jeans Item B,3,No,No,No,0.0,No,product_page,Jeans
user_0242,Benjamin Atkins,sess_bd7b38b178,Google,Yes,Yes,Desktop,524,Hoodies Item B,4,Yes,Yes,No,0.0,No,checkout,Hoodies
user_0013,Eric Petersen,sess_2e3f788fdb,Facebook,Yes,Yes,Desktop,16,,0,No,No,No,0.0,No,landing_page,
user_0221,Amy Mayer,sess_c227c514d9,Instagram,Yes,Yes,Desktop,344,T-Shirts Item A,2,Yes,Yes,Yes,12.18,No,purchase_confirmation,T-Shirts
user_0017,Andrew Wolfe,sess_6b0eadb1b8,Instagram,Yes,Yes,Mobile,471,T-Shirts Item X,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0238,Kelly Patterson,sess_f6ac76162b,Facebook,Yes,Yes,Mobile,712,Accessories Item X,3,Yes,Yes,Yes,12.76,No,purchase_confirmation,Accessories
user_0347,Michelle Harrison,sess_43283d80eb,Instagram,Yes,Yes,Mobile,206,Shorts Item X,2,Yes,Yes,No,0.0,No,checkout,Shorts
user_0239,Tracey Smith,sess_352a433823,Instagram,Yes,Yes,Desktop,134,Pants Item Z,3,Yes,Yes,No,0.0,No,checkout,Pants
user_0258,Jennifer Grant,sess_ca4cf0f1f8,Instagram,Yes,Yes,Mobile,28,,0,No,No,No,0.0,No,landing_page,
user_0027,Kyle Jones,sess_d073c6f30d,Instagram,Yes,Yes,Desktop,140,Jeans Item B,3,Yes,Yes,No,0.0,No,checkout,Jeans
user_0009,Jonathan Wade,sess_9d94ab4dc1,Instagram,Yes,Yes,Mobile,54,Pants Item X,5,No,No,No,0.0,No,product_page,Pants
user_0385,Amy Harrison,sess_6eaf26b61b,Facebook,Yes,Yes,Desktop,263,T-Shirts Item X,4,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0317,Lindsey Edwards,sess_a984867fb3,Instagram,Yes,Yes,Desktop,160,Hoodies Item Z,3,No,No,No,0.0,No,product_page,Hoodies
user_0208,Patricia Potter,sess_abe9b655a8,Instagram,Yes,Yes,Mobile,443,Accessories Item Z,1,Yes,Yes,No,0.0,No,checkout,Accessories
user_0218,Paul Mills,sess_9f84ed890c,Instagram,Yes,Yes,Mobile,157,Accessories Item A,1,No,No,No,0.0,No,product_page,Accessories
user_0388,Anthony Warner,sess_b1d6379d03,Instagram,Yes,Yes,Mobile,415,Pants Item Z,2,Yes,Yes,No,0.0,No,checkout,Pants
user_0098,Anthony Poole,sess_b034367dda,Google,Yes,Yes,Desktop,385,Shorts Item Z,2,Yes,Yes,No,0.0,No,checkout,Shorts
user_0117,Jason Stephens,sess_baf18e6b0c,Facebook,Yes,Yes,Mobile,168,Hoodies Item X,1,Yes,Yes,No,0.0,No,checkout,Hoodies
user_0376,Sarah Sims,sess_5b058dfbd5,Facebook,Yes,Yes,Mobile,80,Jeans Item X,1,No,No,No,0.0,No,product_page,Jeans
user_0323,Ashley Proctor,sess_2b73f58fd9,Instagram,Yes,No,Mobile,0,,0,No,No,No,0.0,No,ad_landing_failure,
user_0259,Robert Mcdonald,sess_952e014a65,Instagram,Yes,Yes,Mobile,73,T-Shirts Item Z,1,No,No,No,0.0,No,product_page,T-Shirts
user_0032,Ashley Gardner,sess_a22a563806,Google,Yes,Yes,Mobile,167,T-Shirts Item Z,1,No,No,No,0.0,No,product_page,T-Shirts
user_0161,Laura Jones,sess_00d36ba63a,Instagram,Yes,Yes,Mobile,434,Hoodies Item X,5,Yes,Yes,No,0.0,No,checkout,Hoodies
user_0359,Mitchell Flowers DDS,sess_0081f3a256,Facebook,Yes,Yes,Desktop,192,T-Shirts Item B,1,Yes,No,No,0.0,No,cart,T-Shirts
user_0348,Audrey Morgan,sess_b363b96dcc,Instagram,Yes,Yes,Mobile,1032,Jeans Item B,2,Yes,Yes,Yes,17.92,No,purchase_confirmation,Jeans
user_0027,Kyle Jones,sess_2fae4f2529,Instagram,Yes,Yes,Mobile,117,Jeans Item X,1,No,No,No,0.0,No,product_page,Jeans
user_0162,Logan Henderson,sess_1c1431286b,Facebook,Yes,Yes,Mobile,89,Jeans Item X,2,No,No,No,0.0,No,product_page,Jeans
user_0008,Brittany Hart,sess_8b509ea139,Facebook,Yes,Yes,Mobile,118,Hoodies Item X,2,No,No,No,0.0,No,product_page,Hoodies
user_0151,Tammy Mcdonald,sess_68801644b6,Facebook,Yes,Yes,Mobile,642,Hoodies Item B,3,Yes,Yes,Yes,34.39,Yes,purchase_confirmation,Hoodies
user_0037,Danielle Burke,sess_f6fa547441,Facebook,Yes,Yes,Mobile,23,,0,No,No,No,0.0,No,landing_page,
user_0351,Curtis Bell,sess_ad2d8f6ce6,Instagram,Yes,Yes,Mobile,29,,0,No,No,No,0.0,No,landing_page,
user_0379,Lauren Montgomery,sess_57a68a9a10,Instagram,Yes,Yes,Mobile,44,T-Shirts Item X,2,No,No,No,0.0,No,product_page,T-Shirts
user_0017,Andrew Wolfe,sess_14c6012279,Facebook,Yes,Yes,Desktop,244,Jeans Item A,1,Yes,Yes,Yes,41.12,No,purchase_confirmation,Jeans
user_0100,Jeffrey Crawford,sess_4f03afc0ea,Google,Yes,Yes,Desktop,629,Jeans Item A,5,Yes,Yes,Yes,59.84,No,purchase_confirmation,Jeans
user_0293,Morgan Mclaughlin,sess_9e87f2e379,Instagram,Yes,Yes,Mobile,523,Jeans Item B,4,Yes,Yes,No,0.0,No,checkout,Jeans
user_0297,Mark Brown,sess_eda5c744ae,Instagram,Yes,Yes,Mobile,812,Pants Item A,2,Yes,Yes,Yes,18.74,No,purchase_confirmation,Pants
user_0390,Scott Esparza,sess_dce447d36c,Instagram,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0119,Barbara Soto,sess_fd4c2ec79d,Instagram,Yes,Yes,Mobile,59,T-Shirts Item B,2,No,No,No,0.0,No,product_page,T-Shirts
user_0231,Michael Holmes,sess_798dfa74e7,Facebook,Yes,Yes,Mobile,557,T-Shirts Item X,1,Yes,Yes,No,0.0,No,checkout,T-Shirts
user_0113,Michael Sims,sess_216b3afe7f,Instagram,Yes,Yes,Desktop,177,T-Shirts Item Z,1,No,No,No,0.0,No,product_page,T-Shirts
user_0187,Elizabeth Kent,sess_8693318134,Facebook,Yes,Yes,Desktop,24,,0,No,No,No,0.0,No,landing_page,
user_0383,Ricky Petersen,sess_7066a00d6d,Google,Yes,Yes,Desktop,164,Pants Item X,1,Yes,No,No,0.0,No,cart,Pants
user_0052,April Clarke,sess_5da982fd8a,Instagram,Yes,Yes,Mobile,499,Pants Item A,3,Yes,Yes,No,0.0,No,checkout,Pants
user_0240,William Bartlett,sess_ea722d0461,Instagram,Yes,Yes,Desktop,1067,T-Shirts Item Z,1,Yes,Yes,Yes,20.89,No,purchase_confirmation,T-Shirts
user_0310,Penny Copeland,sess_99cdc78421,Instagram,Yes,Yes,Mobile,84,Pants Item A,3,No,No,No,0.0,No,product_page,Pants
user_0352,Laura Johnson,sess_cd521cb684,Instagram,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0357,James Robinson,sess_7f26c27d51,Facebook,Yes,Yes,Mobile,83,Accessories Item Z,1,No,No,No,0.0,No,product_page,Accessories
user_0147,David Harris,sess_bdaa053cea,Instagram,Yes,Yes,Mobile,49,T-Shirts Item X,1,No,No,No,0.0,No,product_page,T-Shirts
user_0279,Amanda Salazar,sess_e400091f93,Facebook,Yes,Yes,Desktop,446,Shorts Item A,3,Yes,Yes,Yes,23.0,No,purchase_confirmation,Shorts
user_0391,Kelly Hebert,sess_97a6625883,Instagram,Yes,Yes,Mobile,117,Accessories Item X,1,No,No,No,0.0,No,product_page,Accessories
user_0232,Eddie Mcbride,sess_2a1dcb5f45,Facebook,Yes,Yes,Mobile,195,Hoodies Item X,6,Yes,No,No,0.0,No,cart,Hoodies
user_0009,Jonathan Wade,sess_1bb7eb587c,Instagram,Yes,Yes,Mobile,50,Accessories Item A,1,No,No,No,0.0,No,product_page,Accessories
user_0345,Autumn Barker,sess_010a1304e9,Facebook,Yes,Yes,Mobile,163,T-Shirts Item A,1,No,No,No,0.0,No,product_page,T-Shirts
user_0232,Eddie Mcbride,sess_e1445d21ad,Google,Yes,Yes,Desktop,17,,0,No,No,No,0.0,No,landing_page,
user_0350,Kayla Combs,sess_2751fbd2cf,Google,Yes,Yes,Mobile,64,Accessories Item X,2,No,No,No,0.0,No,product_page,Accessories
user_0045,Ashley Mcdowell,sess_f8abe95cf7,Instagram,Yes,Yes,Mobile,448,Hoodies Item X,6,Yes,Yes,No,0.0,No,checkout,Hoodies
user_0334,Kristen Robles,sess_ff602d1481,Google,Yes,Yes,Mobile,83,Shorts Item B,1,No,No,No,0.0,No,product_page,Shorts
user_0265,Sylvia Wilkerson MD,sess_24de5bc4ba,Google,Yes,Yes,Mobile,427,Hoodies Item B,2,Yes,Yes,No,0.0,No,checkout,Hoodies
user_0055,Dr. Dana Norris DDS,sess_93c4c2ca1d,Instagram,Yes,Yes,Mobile,69,T-Shirts Item B,2,No,No,No,0.0,No,product_page,T-Shirts
user_0188,Anne Lee,sess_9c71bb96ad,Facebook,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0033,Drew Walker,sess_2a19959901,Facebook,Yes,Yes,Mobile,57,Hoodies Item B,1,No,No,No,0.0,No,product_page,Hoodies
user_0373,Abigail Vasquez,sess_202b646ce9,Instagram,Yes,Yes,Desktop,309,Shorts Item B,2,Yes,Yes,No,0.0,No,checkout,Shorts
user_0270,Brooke Holden,sess_0299fa3fe6,Google,Yes,Yes,Desktop,114,Pants Item Z,4,No,No,No,0.0,No,product_page,Pants
user_0156,Chris Martin,sess_7801737c90,Facebook,No,No,Mobile,0,,0,No,No,No,0.0,No,ad_not_clicked,
user_0110,Jennifer Dunn,sess_d0b63b485b,Facebook,Yes,Yes,Desktop,81,Jeans Item B,2,Yes,No,No,0.0,No,cart,Jeans
